ko	ko_definition	modules_with_ko	ARTi	ArsAcraccivora	ArsAsiaII3	ArsBTMEDQ21	ArsBee02222015	ArsBeeUS	ArsCjap	ArsFIN	ArsIxoH	ArsLausane	ArsMelophagi	ArsPB	ArsPV	ArsPerl	ArsUK	ArsenophonusARAD	ArsenophonusARAF	ArsenophonusDSM15247	ArsenophonusENCA	ArsenophonusHangzhou	ArsenophonusLipoptena	Ca_Riesia_pediculicola	Ca_Riesia_pediculischaeffi	EA	EB1	EB2	ERR7799985	ERR7800036	ERR7800037	ONit	P_thracensis	Proteus_mirabilis	Providencia_stuartii	SRR10590585	SRR10590592	SRR12528003	SRR13788609	SRR13788620	SRR13788625	SRR2001675	SRR2001708	SRR5317834	SRR6301423	X_nematophila	aApi_AU
K01495	GTP cyclohydrolase IA [EC:3.5.4.16]	M00126,M00841,M00842,M00843	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01497	GTP cyclohydrolase II [EC:3.5.4.25]	M00125,M00911	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01501	nitrilase [EC:3.5.5.1]	None	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1
K01506	5-aminopentanamidase [EC:3.5.1.30]	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K01507	inorganic pyrophosphatase [EC:3.6.1.1]	None	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01512	acylphosphatase [EC:3.6.1.7]	None	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1
K01515	ADP-ribose pyrophosphatase [EC:3.6.1.13]	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0
K01520	dUTP pyrophosphatase [EC:3.6.1.23]	M00053	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01521	CDP-diacylglycerol pyrophosphatase [EC:3.6.1.26]	None	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	0	2	1	0	2	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1
K01524	exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]	None	2	2	1	1	2	2	0	2	2	2	1	2	2	2	2	0	2	2	2	2	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2
K01525	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]	None	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01529	inosine/xanthosine triphosphatase [EC:3.6.1.73]	None	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
K01531	P-type Mg2+ transporter [EC:7.2.2.14]	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K01533	P-type Cu2+ transporter [EC:7.2.2.9]	None	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	0	1	1	1
K01534	Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]	None	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
K01545	potassium-transporting ATPase KdpF subunit	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
K01546	potassium-transporting ATPase potassium-binding subunit	None	1	0	0	0	1	1	0	1	2	1	0	1	1	1	1	0	2	1	0	1	0	0	0	2	2	0	2	2	2	1	1	0	1	1	1	2	1	1	1	2	1	2	1	1	1
K01547	potassium-transporting ATPase ATP-binding subunit [EC:7.2.2.6]	None	1	0	0	1	1	1	0	1	2	1	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
K01548	potassium-transporting ATPase KdpC subunit	None	1	0	0	0	1	1	0	1	2	1	0	1	1	1	1	0	1	1	0	1	0	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	1	1	1
K01551	arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-]	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K01557	acylpyruvate hydrolase [EC:3.7.1.5]	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
K01569	oxalate decarboxylase [EC:4.1.1.2]	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01575	acetolactate decarboxylase [EC:4.1.1.5]	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K01576	benzoylformate decarboxylase [EC:4.1.1.7]	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K01577	oxalyl-CoA decarboxylase [EC:4.1.1.8]	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K01579	aspartate 1-decarboxylase [EC:4.1.1.11]	M00119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0
K01580	glutamate decarboxylase [EC:4.1.1.15]	M00027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K01584	arginine decarboxylase [EC:4.1.1.19]	M00133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
K01586	diaminopimelate decarboxylase [EC:4.1.1.20]	M00016,M00525,M00526,M00527	0	0	0	0	1	1	0	1	0	1	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
K01588	5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]	M00048	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01589	5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]	M00048	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01591	orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]	M00051	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01595	phosphoenolpyruvate carboxylase [EC:4.1.1.31]	M00168,M00172,M00171,M00170,M00173,M00374,M00346,M00614	1	2	2	0	1	1	1	3	1	3	0	1	1	3	3	0	4	3	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1
K01599	uroporphyrinogen decarboxylase [EC:4.1.1.37]	M00868,M00121,M00926	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01607	4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
K01609	indole-3-glycerol phosphate synthase [EC:4.1.1.48]	M00023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K01610	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]	M00003,M00170	1	1	2	0	1	1	0	1	2	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01611	S-adenosylmethionine decarboxylase [EC:4.1.1.50]	M00034,M00133	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1
K01613	phosphatidylserine decarboxylase [EC:4.1.1.65]	M00093	1	1	1	1	2	2	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	1	2	1	2
K01619	deoxyribose-phosphate aldolase [EC:4.1.2.4]	None	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2
K01620	threonine aldolase [EC:4.1.2.48]	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
K01624	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	M00001,M00003,M00165,M00167,M00345,M00344,M00611,M00612	1	1	1	1	2	2	1	2	2	2	1	2	2	2	2	1	1	2	1	2	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
K01625	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]	M00008,M00308,M00631,M00061	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	0	1	1	1
K01626	3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	M00022	5	4	4	4	3	3	0	3	4	3	1	3	3	3	3	0	4	3	4	3	1	1	1	3	3	5	3	3	3	4	3	4	3	5	5	3	3	3	3	3	3	4	3	2	3
K01627	2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]	M00063	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01633	7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]	M00126,M00840	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01637	isocitrate lyase [EC:4.1.3.1]	M00012	0	0	0	0	2	2	0	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	2	1	1
K01638	malate synthase [EC:2.3.3.9]	M00012	0	1	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
K01639	N-acetylneuraminate lyase [EC:4.1.3.3]	None	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K01641	hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]	M00088,M00095,M00849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
K01643	citrate lyase subunit alpha / citrate CoA-transferase [EC:2.8.3.10]	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K01644	citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
K01646	citrate lyase subunit gamma (acyl carrier protein)	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K01647	citrate synthase [EC:2.3.3.1]	M00009,M00010,M00012,M00740	1	0	1	0	1	1	0	1	2	1	0	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01649	2-isopropylmalate synthase [EC:2.3.3.13]	M00432	0	0	1	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
K01652	acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	M00019,M00570	0	1	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	1	1	1	1	2	3	3	1	1	1	1	1	1	1	1	0	1	2	1
K01653	acetolactate synthase I/III small subunit [EC:2.2.1.6]	M00019,M00570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0
K01657	anthranilate synthase component I [EC:4.1.3.27]	M00023	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1
K01658	anthranilate synthase component II [EC:4.1.3.27]	M00023	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1
K01659	2-methylcitrate synthase [EC:2.3.3.5]	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
K01661	naphthoate synthase [EC:4.1.3.36]	M00116,M00932	1	0	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
K01662	1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	M00096	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01664	para-aminobenzoate synthetase component II [EC:2.6.1.85]	None	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01665	para-aminobenzoate synthetase component I [EC:2.6.1.85]	None	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01666	4-hydroxy 2-oxovalerate aldolase [EC:4.1.3.39]	M00569,M00545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
K01667	tryptophanase [EC:4.1.99.1]	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0
K01669	deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]	None	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0
K01673	carbonic anhydrase [EC:4.2.1.1]	None	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	2	1	1	1	0	0	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01674	carbonic anhydrase [EC:4.2.1.1]	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
K01676	fumarate hydratase, class I [EC:4.2.1.2]	M00009,M00011,M00173,M00613,M00614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K01679	fumarate hydratase, class II [EC:4.2.1.2]	M00009,M00011,M00173,M00376,M00613,M00614	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
K01681	aconitate hydratase [EC:4.2.1.3]	M00009,M00010,M00012,M00740,M00173,M00614	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	0
K01682	aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]	M00009,M00010,M00012,M00173,M00614	0	1	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
K01686	mannonate dehydratase [EC:4.2.1.8]	M00061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K01687	dihydroxy-acid dehydratase [EC:4.2.1.9]	M00019,M00570	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
K01689	enolase [EC:4.2.1.11]	M00001,M00002,M00003,M00346	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01690	phosphogluconate dehydratase [EC:4.2.1.12]	M00008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
K01692	enoyl-CoA hydratase [EC:4.2.1.17]	M00087,M00878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0
K01693	imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]	M00026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
K01695	tryptophan synthase alpha chain [EC:4.2.1.20]	M00023	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01696	tryptophan synthase beta chain [EC:4.2.1.20]	M00023	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
K01697	cystathionine beta-synthase [EC:4.2.1.22]	M00338,M00035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01698	porphobilinogen synthase [EC:4.2.1.24]	M00846,M00868,M00121,M00926	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01703	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	M00535,M00432	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
K01704	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	M00535,M00432	0	0	1	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
K01710	dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]	M00793	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01711	GDPmannose 4,6-dehydratase [EC:4.2.1.47]	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
K01712	urocanate hydratase [EC:4.2.1.49]	M00045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0
K01713	cyclohexadienyl dehydratase [EC:4.2.1.51 4.2.1.91]	M00024	1	0	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1
K01714	4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	M00016,M00525,M00526,M00527	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1
K01716	3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14]	M00083	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01719	uroporphyrinogen-III synthase [EC:4.2.1.75]	M00846,M00868,M00121,M00926	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01720	2-methylcitrate dehydratase [EC:4.2.1.79]	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
K01725	cyanate lyase [EC:4.2.1.104]	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
K01726	gamma-carbonic anhydrase [EC:4.2.1.-]	None	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01733	threonine synthase [EC:4.2.3.1]	M00018	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
K01734	methylglyoxal synthase [EC:4.2.3.3]	None	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1
K01735	3-dehydroquinate synthase [EC:4.2.3.4]	M00022	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01736	chorismate synthase [EC:4.2.3.5]	M00022	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01737	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	M00842,M00843	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01738	cysteine synthase [EC:2.5.1.47]	M00021	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
K01739	cystathionine gamma-synthase [EC:2.5.1.48]	M00017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	2	0
K01740	O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0
K01744	aspartate ammonia-lyase [EC:4.3.1.1]	None	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01745	histidine ammonia-lyase [EC:4.3.1.3]	M00045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0
